GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.exception.handler,ExceptionHandlerAdvice,45,87,0,0,12,24,3,7,3,7
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.converter,BooleanValueToStringConverter,26,3,8,0,6,1,6,1,2,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.customerstatus,LocalizedCustomerStatusId,18,0,0,0,4,0,4,0,4,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.customerstatus,QLocalizedCustomerStatusId,18,39,0,0,2,7,1,3,1,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.customerstatus,QLocalizedCustomerStatus,25,39,1,1,6,8,4,3,3,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.customerstatus,LocalizedCustomerStatus,130,0,22,0,5,0,22,0,11,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.rest,ProductApi,79,0,8,0,20,0,10,0,6,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.rest,CustomerLookupApi,38,0,4,0,10,0,5,0,3,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.rest,CustomerApi,79,0,8,0,20,0,10,0,6,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.rest,UserApi,38,0,4,0,10,0,5,0,3,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.rest,DictionaryApi,38,0,4,0,10,0,5,0,3,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.rest,AuditApi,38,0,4,0,10,0,5,0,3,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.rest,SourceSystemApi,38,0,4,0,10,0,5,0,3,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.rest,ApiUtil,27,0,0,0,9,0,2,0,2,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,SortProductsByDto,136,0,4,0,18,0,7,0,5,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,LocalizedProductAvailabilityDto,121,0,12,0,28,0,17,0,11,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,SearchCustomersByFieldDto,147,0,4,0,19,0,7,0,5,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,SortDirectionDto,70,0,4,0,12,0,7,0,5,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,AuthenticatedUserResponseDto,73,10,8,0,17,4,9,3,5,3
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,AuditsRequestDto,249,0,20,0,58,0,31,0,21,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,CustomerDetailsDto,665,0,44,0,140,0,81,0,59,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,AuditDto,107,116,17,1,22,27,16,13,7,13
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,DictionariesResponseDto,417,0,36,0,98,0,51,0,33,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,SearchAuditsByFieldDto,103,0,4,0,15,0,7,0,5,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,ProductDetailsDto,529,0,36,0,112,0,65,0,47,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,ProductsRequestDto,283,0,22,0,65,0,35,0,24,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,CustomerNativeStatusDto,33,48,4,0,5,8,4,3,2,3
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,SortCustomersByDto,147,0,4,0,19,0,7,0,5,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,CustomersRequestDto,283,0,22,0,65,0,35,0,24,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,CustomerLookupDto,374,87,32,0,61,37,32,25,16,25
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,CustomerStateDto,33,37,4,0,5,7,4,3,2,3
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,LocalizedCustomerNativeStatusDto,121,0,12,0,28,0,17,0,11,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,LanguageDto,59,0,4,0,11,0,7,0,5,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,LocalizedRejectionReasonDto,121,0,12,0,28,0,17,0,11,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,ProductPartialRequestDto,83,0,8,0,21,0,12,0,8,0
zdms-jacoco-aggregated-reports/zdms-rest-api,com.zoetis.zdms.api.dto,CustomersResponseDto,119,20,14,0,25,8,14,5,7,5
